Á¾¸ñÄÚµå,Á¾¸ñ¸í,½ÃÀå±¸ºÐ,¼Ò¼ÓºÎ,Á¾°¡,´ëºñ,µî¶ô·ü,½Ã°¡,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,½Ã°¡ÃÑ¾×,»óÀåÁÖ½Ä¼ö
"060250","NHNÇÑ±¹»çÀÌ¹ö°áÁ¦","KOSDAQ","¿ì·®±â¾÷ºÎ","48400","0","0.00","48450","48500","47700","51740","2490237550","1185934019600","24502769"
"005940","NHÅõÀÚÁõ±Ç","KOSPI",,"13300","50","0.38","13150","13300","13100","632399","8375795300","3742738197100","281408887"
"005945","NHÅõÀÚÁõ±Ç¿ì","KOSPI",,"11900","0","0.00","11850","11950","11850","71860","855323100","224564519200","18870968"
"338100","NHÇÁ¶óÀÓ¸®Ã÷","KOSPI",,"4825","-125","-2.53","4850","4925","4800","904512","4361703375","90034500000","18660000"
"034310","NICE","KOSPI",,"18600","550","3.05","17950","18600","17950","57575","1053161600","704610780000","37882300"
"030190","NICEÆò°¡Á¤º¸","KOSDAQ","¿ì·®±â¾÷ºÎ","21400","200","0.94","21350","21700","21250","185620","3983544400","1299297148000","60714820"
"008260","NI½ºÆ¿","KOSPI",,"4575","60","1.33","4500","4670","4495","123413","566568635","130845535275","28600117"
"004250","NPC","KOSPI",,"5570","-20","-0.36","5590","5610","5490","253068","1401919930","204530400000","36720000"
"004255","NPC¿ì","KOSPI",,"3135","0","0.00","3135","3140","3130","3371","10560025","16552800000","5280000"
"010060","OCI","KOSPI",,"126000","-1000","-0.79","125500","128500","124000","326514","41093895000","3005020746000","23849371"
"078590","OQP","KOSDAQ","°ü¸®Á¾¸ñ(¼Ò¼ÓºÎ¾øÀ½)","2380","0","0.00","0","0","0","0","0","197556560040","83006958"
"178920","PIÃ·´Ü¼ÒÀç","KOSPI",,"59500","700","1.19","59100","60700","58800","210409","12517458800","1747296159000","29366322"
"024940","PNÇ³³â","KOSDAQ","º¥Ã³±â¾÷ºÎ","6880","80","1.18","6910","6940","6690","117767","803633750","68800000000","10000000"
"005490","POSCO","KOSPI",,"337500","500","0.15","332500","342500","332500","336396","113681021500","29425556812500","87186835"
"218410","RFHIC","KOSDAQ","¿ì·®±â¾÷ºÎ","33200","350","1.07","32600","33350","32600","102491","3386685600","884700984000","26647620"
"327260","RF¸ÓÆ®¸®¾óÁî","KOSDAQ","º¥Ã³±â¾÷ºÎ","23750","-50","-0.21","23850","23950","23500","11491","272405550","94972663750","3998849"
"091340","S&KÆú¸®ÅØ","KOSDAQ","Áß°ß±â¾÷ºÎ","5870","130","2.26","5740","5870","5700","61165","353993030","68700842270","11703721"
"010950","S-Oil","KOSPI",,"92600","-2500","-2.63","94500","94500","92100","279536","25916095900","10425166539200","112582792"
"010955","S-Oil¿ì","KOSPI",,"54800","-400","-0.72","55100","55100","54700","3351","183645100","220401599600","4021927"
"019550","SBIÀÎº£½ºÆ®¸ÕÆ®","KOSDAQ","º¥Ã³±â¾÷ºÎ","1820","45","2.54","1780","1825","1775","1497719","2700769980","294961166500","162066575"
"950110","SBIÇÉÅ×Å©¼Ö·ç¼ÇÁî","KOSDAQ","¿Ü±¹±â¾÷(¼Ò¼ÓºÎ¾øÀ½)","7560","110","1.48","7450","7560","7350","21418","159930340","181803182400","24048040"
"034120","SBS","KOSPI",,"49800","-900","-1.78","51100","51100","49400","214041","10649042600","908978583600","18252582"
"101060","SBS¹Ìµð¾îÈ¦µù½º","KOSPI",,"2205","15","0.68","2185","2240","2180","317197","700143420","308471098950","139896190"
"046140","SBSÄÜÅÙÃ÷Çãºê","KOSDAQ","¿ì·®±â¾÷ºÎ","7200","-60","-0.83","7240","7240","7110","22622","162188620","154537596000","21463555"
"036120","SCIÆò°¡Á¤º¸","KOSDAQ","Áß°ß±â¾÷ºÎ","3360","35","1.05","3325","3360","3285","54964","182712650","119280000000","35500000"
"099220","SDN","KOSDAQ","¿ì·®±â¾÷ºÎ","2615","50","1.95","2590","2625","2565","632358","1643189450","139038080370","53169438"
"036540","SFA¹ÝµµÃ¼","KOSDAQ","¿ì·®±â¾÷ºÎ","6940","20","0.29","6940","6970","6850","870768","6015165270","1141354502820","164460303"
"255220","SG","KOSDAQ","Áß°ß±â¾÷ºÎ","2220","30","1.37","2195","2230","2160","50439","111169300","91775392740","41340267"
"040610","SG&G","KOSDAQ","Áß°ß±â¾÷ºÎ","2725","0","0.00","2720","2760","2715","122246","334830475","92887609100","34087196"
"049470","SGA","KOSDAQ","Áß°ß±â¾÷ºÎ","1230","15","1.23","1220","1235","1195","331353","404757100","65020566270","52862249"
"184230","SGA¼Ö·ç¼ÇÁî","KOSDAQ","º¥Ã³±â¾÷ºÎ","1425","65","4.78","1360","1435","1350","524256","735278720","65800523550","46175806"
"005090","SGC¿¡³ÊÁö","KOSPI",,"48200","1250","2.66","46950","48600","46800","69106","3318838000","707431592800","14677004"
"016250","SGCÀÌÅ×Å©°Ç¼³","KOSDAQ","¿ì·®±â¾÷ºÎ","75400","3200","4.43","74900","76300","73300","44172","3303028700","152628223800","2024247"
"001380","SG±Û·Î¹ú","KOSPI",,"2680","-10","-0.37","2675","2700","2650","114727","307096450","120503903240","44964143"
"004060","SG¼¼°è¹°»ê","KOSPI",,"764","14","1.87","750","765","745","472012","357616585","154652669440","202424960"
"001770","SHD","KOSPI",,"32300","800","2.54","31850","32300","31200","13814","440289900","39240559400","1214878"
"002360","SH¿¡³ÊÁöÈ­ÇÐ","KOSPI",,"1060","35","3.41","1025","1065","1025","823215","865099710","117801753800","111133730"
"009160","SIMPAC","KOSPI",,"7900","1280","19.34","6540","8170","6540","10846041","84001687480","516893176400","65429516"
"123700","SJM","KOSPI",,"4800","25","0.52","4775","4870","4775","40914","196701415","74903510400","15604898"
"025530","SJMÈ¦µù½º","KOSPI",,"3995","40","1.01","3955","4090","3940","50267","201140635","59661361960","14934008"
"034730","SK","KOSPI",,"263500","0","0.00","263000","266000","261000","204964","53980079000","18539938259500","70360297"
"337450","SK5È£½ºÆÑ","KOSDAQ","SPAC(¼Ò¼ÓºÎ¾øÀ½)","2440","-15","-0.61","2430","2470","2425","161487","393978625","10516400000","4310000"
"340350","SK6È£½ºÆÑ","KOSDAQ","SPAC(¼Ò¼ÓºÎ¾øÀ½)","2200","-15","-0.68","2215","2215","2200","51305","113090720","12562000000","5710000"
"011790","SKC","KOSPI",,"156000","-3500","-2.19","159500","160000","155000","295119","46225073500","5907454488000","37868298"
"018670","SK°¡½º","KOSPI",,"119500","0","0.00","119500","120500","119000","8996","1078276000","1103014158000","9230244"
"001740","SK³×Æ®¿÷½º","KOSPI",,"5550","-10","-0.18","5550","5620","5540","481788","2680688240","1377441440850","248187647"
"001745","SK³×Æ®¿÷½º¿ì","KOSPI",,"108000","0","0.00","106500","108500","106500","83","8872000","12273984000","113648"
"006120","SKµð½ºÄ¿¹ö¸®","KOSPI",,"48650","750","1.57","47900","48800","47750","67865","3282665250","926191645750","19037855"
"006125","SKµð½ºÄ¿¹ö¸®¿ì","KOSPI",,"40250","50","0.12","40200","40600","39950","13212","530929350","54677813750","1358455"
"210980","SKµð¾Øµð","KOSPI",,"39350","750","1.94","38650","39700","38450","140849","5534583400","873182953400","22190164"
"068400","SK·»ÅÍÄ«","KOSPI",,"12700","0","0.00","12650","12900","12550","81531","1039467550","600530168000","47285840"
"036490","SK¸ÓÆ¼¸®¾óÁî","KOSDAQ","¿ì·®±â¾÷ºÎ","405000","500","0.12","402800","408300","399800","48187","19440493500","4271807565000","10547673"
"302440","SK¹ÙÀÌ¿À»çÀÌ¾ð½º","KOSPI",,"308500","-5000","-1.59","311000","316500","299000","1098937","338605646500","23600250000000","76500000"
"326030","SK¹ÙÀÌ¿ÀÆÊ","KOSPI",,"124000","-1500","-1.20","126000","126000","123500","206858","25763824500","9710843000000","78313250"
"361610","SK¾ÆÀÌÀÌÅ×Å©³î·ÎÁö","KOSPI",,"208500","1000","0.48","212000","215000","207000","472492","99322065000","14865547932000","71297592"
"03473K","SK¿ì","KOSPI",,"246500","1500","0.61","246500","246500","244000","1159","284149000","139552277500","566135"
"096770","SKÀÌ³ëº£ÀÌ¼Ç","KOSPI",,"244500","-5000","-2.00","249500","251000","243500","323014","79590394000","22607830398000","92465564"
